REFID	TITLE	SUBTITLE	AUTHORS	COVER	YEAR1STPUB
8691	The Canadian Green Consumer Guide	How You Can Help		BC8691-GreenConsumerGuide.jpg	1988
8709	The Canadian Constitution	From Patriation to Meech Lake	Milne, David	BC8709s-CdnConstitution.jpg	1989
8716	Waiting for Democracy	A Citizen's Journal	Salutin, Rick	BC8716-WaitingForDemocracy.jpg	1989
8717	The Struggle for Democracy		Watson, Patrick	BC8545-StruggleDemocracy.jpg	1988
8718	'68: The Year of the Barricades		Caute, David	BC8718-YearBarricades.jpg	1988
8719	Street Fighting Years	An Autobiography of the Sixties	Ali, Tariq	BC8524-StreetFightingYears.jpg	1987
8720	Burning Desires	Sex in America: A report from the field	Chappele, Steve & Talbot, David	BC8720s-BurningDesires.jpg	1989
8721	The Secret Museum	Pornography in Modern Culture	Kendrick, Walter	BC8721-SecretMuseum.jpg	1988
8726	Development Today	A Fundraising Guide for Nonprofit Organizations	Lant, Jeffrey	BC8726-DevelopmentToday.jpg	1980
8730	Progressive Periodicals Directory	Second Edition	Canan, Craig T.	BC8730s-ProgressivePeriodicals.jpg	1989
8734	Libel	A Handbook for Canadian publishers, Editors and Writers	Porter, Julian	BC8734s-Libel.jpg	1987
8735	The Makeover Book	101 Design Solutions for Desktop Publishing	Parker, Roger C	BC8735-MakeoverBook.jpg	1989
8736	Graphic Design Cookbook	Mix and Match Recipes for Faster, Better Layouts	Koren, Leonard  & Meckler, R. Wippo	BC8736-GraphicDesign.jpg	1989
8738	The Alternative Movement, Press, and Literature of West Germany	An Introduction with Lists of Alternative Serials, Publishers, Distributors, and Selection Tools	Kunoff, Hugo	BC8738-AlternativeGermany.jpg	1988
8740	Building Sustainable Communities:	Tools and Concepts for Self-Reliant Economic Change	Benello, C. George; Swann, Robert; Turnbull, Shann; Morehouse, Ward (ed.)	BC14799s-BuildingCommunities.jpg	1983
8751	Investor Beware	Investigating Investments & Scams	Rothenberg, Henry H.	BC8751s-InvestorBeware.jpg	1988
8752	The Joy of Service!	Bringing service excellence to the world thriugh your world	McCann, Ron as told to Vitale, John	BC8752s-JoyOfService.jpg	1989
8755	Liberties		Russell, John (ed.)	BC8755s-Liberties.jpg	1989
8759	The 1989 Canadian Guide to Profitable Ethical Investing	1989 Guide to......	Ellmen, Eugene	BC8759s-EthicalInvesting.jpg	1987
8769	'What can I Do?'	Citizen Strategies for Nuclear Disarmament	Woodworth, Elizabeth	BC8769-WhatCanIDo.jpg	1987
8883	Culture Inc.	The Corporate Takeover of Public Expression	Schiller, Herbert I.	BC8883-CultureInc.jpg	1989
8884	Pirate Radio Stations	Tuning In Underground Broadcasts	Yoder, Andrew	BC8884-PirateRadio.jpg	1990
8895	Home & Family Guide	Practical Action for the Environment		BC8895-HomeFamilyGuide.jpg	1989
8897	At the Water's Edge	Nature Study in Lakes, Streams, and Ponds	Cvancara, Alan M.	BC8897-WatersEdge.jpg	1989
8900	Human Rights	A Directory of Resources	Fenton, Thomas P. &  Heffron, Mary J.	BC8900s-HumanRights.jpg	1989
8907	Chicago '68		Farber, David	BC8907-Chicago68.jpg	1988
8908	Voyages To Utopia	From Monastery to Commune - The Search for the Perfect Society in Modern Times	McCord, William	BC8908-VoyagesUtopia.jpg	1989
8909	Mahatma Gandhi and His Myths		Shepard, Mark	BC8909s-MahatmaGandhi.jpg	1990
8914	Maximum Gifts by Return Mail		Kuniholm, Roland	BC8914-MaximumGifts.jpg	1989
8915	How To Make A Whole Lot More Than $1,000,000 Writing, Commissioning, Publishing and Selling "How To: Information		Lant, Dr. Jeffrey	BC8915-HowtoMakeLot.jpg	1990
8916	1001 Ways to Market Your Books		Kremer, John	BC8916-1001Waysnew.jpg	1988
8917	Marketing Your Books	A collection of profit-making ideas for authors and publishers	Ross, Marilyn and Tom	BC8917-MarketingYBooks.jpg	1990
8918	The Complete Guide to Self-Publishing		Ross, Tom & Marilyn	BC8918-CompleteGuide.jpg	1989
8920	The Write Way	A Standard Handbook for Writers and Editors	Pritchard, Gillian	BC8920-WriteWay.jpg	1989
8923	How to be organized In spite of yourself		Schlenger, Sunny	BC8923s-HowToBeOrganized.jpg	1989
8925	Blueprint for a Green Economy		Pearce, David; Markandya, Anil;  Barbier, Edward B.	BC8925-BlueprintGreenEcon.jpg	1989
8927	Communication For and Against Democracy		Rabey, Marc; Bruck, Peter. A. (ed.)	BC8927-CommunicationsDem.jpg	1989
8936	Not A Sentimental Journey	What's behind the VIA Rail cuts, What YOU can do about it	Davis, Jo	BC8936-SentimentalJourney.jpg	1990
8940	Sultans of Sleaze	Public Relations and the Media	Nelson, Joyce	BC9054-SultansofSleaze.jpg	1989
8943	When the Work's All Done This Fall	The Settling of the Land	McIntosh, Dave	BC8943-WhenTheWorksAll.jpg	1989
9053	Communication for and Against Democracy		Raboy, Marc and  Bruck, Peter A. (ed.)	BC8927-CommunicationsDem.jpg	1989
9054	Sultans of Sleaze	Public Relations and the Media	Nelson, Joyce	BC9054-SultansofSleaze.jpg	1989
9067	Critical Paths	Organizing on health Issues in the community	Keck, Jennifer; Dauphinais, Denriette; Lewko, John	BC9067-CtiticalPaths.jpg	1989
9068	Hidden from History	Reclaiming the Gay and Lesbian Past	Duberman, M.B.; Vicinus, M.; George, C. Jr. (eds)	BC9068-HiddenHistory.JPG	1989
