ID	ImageNum	Title	Filename	OriginalFilename	Author	Year1stPub	BildSource	Caption	ELibrary	CXDatabase	SourcesDB	Ullibrary	Nix	Marked	Publishist	Format	SoFRefID	SoFDate
116	BL0116	Bewegung	BL0116-Bewegung2					Bewegung								PHO		
117	BL0117	East and West	BL0117-EastWest				Unfashionable Human Body (Le Rire.)	East and West				True				PHO		
118	BL0118	Turkeys at bird feeder	BL0118-Birdfeeder					Turkeys at bird feeder								PHO		
119	BL0119	Bowling billboard	BL0119-Bowling					Bowling billboard								PHO		
120	BL0120	Daily Mirror George W. Bush collage	BL0120-Bush					Daily Mirror George W. Bush collage								PHO		
121	BL0121	Canada Life building	BL0121-CanadaLifeBuilding					Canada Life building								PHO		
122	BL0122	Capitalism sucks sign	BL0122-Capsucks					Capitalism sucks sign		True						PHO		
123	BL0123	Baby and cat	BL0123-Cat_Baby					Baby and cat								PHO		
124	BL0124	H Bomb or Tornado	BL0124-CivilDefense5					H Bomb or Tornado								PHO		
125	BL0125	Cottage	BL0125-Cottage					Cottage								PHO		
126	BL0126	Cottage	BL0126-Cottage-401e1a					Cottage								PHO		
127	BL0127	Cottage	BL0127-Cottage-417e1					Cottage								PHO		
128	BL0128	Cottage	BL0128-Cottage-458e1					Cottage								PHO		
129	BL0129	Cottage	BL0129-CottageExterior					Cottage								PHO		
130	BL0130	Cottage	BL0130-CottageExterior5					Cottage								PHO		
131	BL0131	A beach	BL0131-Beach					A beach								PHO		
132	BL0132	Cats sleeping	BL0132-Sleep01					Cats sleeping								PHO		
133	BL0133	Cat yawning	BL0133-Sleep02					Cat yawning								PHO		
134	BL0134	Cat stretched out across two baskets sleeping	BL0134-Sleep03					Cat stretched out across two baskets sleeping								PHO		
135	BL0135	Cat sleeping with teddy bear	BL0135-Sleep04					Cat sleeping with teddy bear								PHO		
136	BL0136	Cat sleeping on train station platform	BL0136-Sleep05					Cat sleeping on train station platform								PHO		
137	BL0137	Two cats sleeping embraced	BL0137-Sleep06					Two cats sleeping embraced								PHO		
138	BL0138	Kitten sleeping on back	BL0138-Sleep07					Kitten sleeping on back								PHO		
139	BL0139	Tunick group legs up	BL0139-Tunick01					Tunick group legs up								PHO		
140	BL0140	Tunick group	BL0140-Tunick02					Tunick group								PHO		
141	BL0141	Tunick group	BL0141-Tunick03					Tunick group								PHO		
142	BL0142	Woman with nature hat	BL0142-NatureArtist					Woman with nature hat								PHO		
143	BL0143	Tunick group with city skyline	BL0143-Tunick04					Tunick group with city skyline					True			PHO		
144	BL0144	Tunick group seated portrait	BL0144-Tunick05					Tunick group seated portrait					True			PHO		
145	BL0145	Tunick group in train station	BL0145-Tunick07					Tunick group in train station					True			PHO		
146	BL0146	Tunick group	BL0146-Tunick08					Tunick group					True			PHO		
147	BL0147	Tunick group	BL0147-Tunick10					Tunick group					True			PHO		
148	BL0148	Tunick group on sand	BL0148-Tunick12					Tunick group on sand					True			PHO		
149	BL0149	Tunick group theatre	BL0149-Tunick13					Tunick group theatre					True			PHO		
150	BL0150	Cottage	BL0150-CottageHU					Cottage								PHO		
151	BL0151	Cover of Extra with New Orleans looting photos	BL0151-ExtraCoverDec2005			2005	Extra	Cover of Extra with New Orleans looting photos		True	True					PHO		
152	BL0152	George W. Bush reading book upside down	BL0152-GeorgeWBush1					George W. Bush reading book upside down								PHO		
153	BL0153	George W. Bush with binoculars with cap on	BL0153-GeorgeWBush2					George W. Bush with binoculars with cap on								PHO		
154	BL0154	Dog holding no dogs sign	BL0154-Dog_Sign-060111					Dog holding no dogs sign								PHO		
155	BL0155	Dog in hammock	BL0155-ExpertDog					Dog in hammock								PHO		
156	BL0156	Mass of rubber ducklings	BL0156-Ducklings1					Mass of rubber ducklings								PHO		
157	BL0157	Dark duckling sticking head above eggs	BL0157-Ducklings2					Dark duckling sticking head above eggs								PHO		
158	BL0158	Giant pinkrabbit on hillside	BL0158-GiantPinkRabbit					Giant pinkrabbit on hillside								PHO		
159	BL0159	Goat	BL0159-Goat-060111					Goat								PHO		
160	BL0160	Hound dog	BL0160-Hounddog1					Hound dog								PHO		
161	BL0161	Hound dog	BL0161-Hounddog3					Hound dog								PHO		
162	BL0162	Bassett hound with glasses	BL0162-HoundwithGlasses					Bassett hound with glasses								PHO		
163	BL0163	Small frog	BL0163-Forg					Small frog								PHO		
164	BL0164	Cat curled around radiator	BL0164-HowCatsSurviveTheWinter					Cat curled around radiator								PHO		
165	BL0165	Two kittens	BL0165-Kittens					Two kittens								PHO		
166	BL0166	Capitalism Sucks banner	BL0166-Sucks					Capitalism Sucks banner		True						PHO		
167	BL0167	Two wolves, one with face inside other's muzzle	BL0167-Wolves-060111					Two wolves, one with face inside other's muzzle								PHO		
